text,label,subintent,canonical_question,difficulty,source,split
"Pozdrav, Kome se obratiti za alimentaciju ako je roditelj van BiH?",pravna_pomoc,alimentacija,Kome se obratiti za alimentaciju ako je roditelj van BiH?,medium,synthetic_rule_based,train
"Molim vas, Šta treba predati za registraciju fondacije? Možete li me uputiti?",registracija,registracija_fondacije,Šta treba predati za registraciju fondacije?,easy,synthetic_rule_based,train
"Ne mogu da nađem na stranici, Kako provjeriti notara? Nisam siguran gdje da tražim.",registri,registar_notara,Kako provjeriti notara?,natural,synthetic_rule_based,train
Kako podnijeti zahtjev po ZOSPI-u? Hvala.,obrasci,obrazac_zospi,Kako podnijeti zahtjev po ZOSPI-u?,easy,synthetic_rule_based,train
Koji propisi važe za fondacije? Molim odgovor.,zakoni_i_propisi,zakoni_udruzenja,Koji propisi važe za fondacije?,easy,synthetic_rule_based,train
"Zanima me, Koji su uslovi za pravosudni ispit? Molim odgovor.",ispiti,pravosudni_ispit,Koji su uslovi za pravosudni ispit?,natural,synthetic_rule_based,train
"Zanima me, Koji obrazac se koristi za osnivanje udruženja?",obrasci,obrazac_registracija,Koji obrazac se koristi za osnivanje udruženja?,natural,synthetic_rule_based,train
"Pozdrav, Kako otvoriti firmu u poreznoj upravi? Hvala.",out_of_scope,nevezano,Kako otvoriti firmu u poreznoj upravi?,natural,synthetic_rule_based,train
"Molim vas, Gdje se plaća parking kazna? Treba mi hitno.",out_of_scope,nevezano,Gdje se plaća parking kazna?,natural,synthetic_rule_based,train
"Zanima me, Ko ima pravo na besplatnu pravnu pomoć? Molim odgovor.",pravna_pomoc,besplatna_pravna_pomoc,Ko ima pravo na besplatnu pravnu pomoć?,easy,synthetic_rule_based,train
"Pozdrav, Koji formular se predaje za polaganje ispita? Možete li me uputiti?",obrasci,obrazac_ispiti,Koji formular se predaje za polaganje ispita?,natural,synthetic_rule_based,train
"Dobar dan, Pokušavam naći tačan obrazac. Koji sektor radi registraciju udruženja?",kontakt_i_nadleznosti,nadleznosti,Koji sektor radi registraciju udruženja?,medium,synthetic_rule_based,train
"Trebam informaciju, Koji formular treba za promjenu zastupnika? Hvala.",obrasci,obrazac_promjena,Koji formular treba za promjenu zastupnika?,easy,synthetic_rule_based,train
"Pozdrav, Ne razumijem proceduru. Koji dokumenti trebaju za besplatnu pravnu pomoć?",pravna_pomoc,besplatna_pravna_pomoc,Koji dokumenti trebaju za besplatnu pravnu pomoć?,medium,synthetic_rule_based,train
"Dobar dan, Kako otvoriti firmu u poreznoj upravi? Ako može.",out_of_scope,nevezano,Kako otvoriti firmu u poreznoj upravi?,natural,synthetic_rule_based,train
Koji su uslovi za pravosudni ispit? Treba mi hitno.,ispiti,pravosudni_ispit,Koji su uslovi za pravosudni ispit?,natural,synthetic_rule_based,train
Kada je popravni ispit? Možete li me uputiti?,ispiti,termini_ispita,Kada je popravni ispit?,natural,synthetic_rule_based,train
"Zanima me, Gdje mogu naći zahtjev za izmjenu podataka?",obrasci,obrazac_promjena,Gdje mogu naći zahtjev za izmjenu podataka?,medium,synthetic_rule_based,train
"Može pomoć, Ima li zahtjev za pristup informacijama? Treba mi hitno.",obrasci,obrazac_zospi,Ima li zahtjev za pristup informacijama?,easy,synthetic_rule_based,train
"Dobar dan, Gdje se predaje zahtjev/prijava za građevinsku dozvolu? Molim odgovor.",out_of_scope,nevezano,Gdje se predaje zahtjev za građevinsku dozvolu?,easy,synthetic_rule_based,train
"Dobar dan, Koji obrazac se koristi za osnivanje udruženja? Molim odgovor.",obrasci,obrazac_registracija,Koji obrazac se koristi za osnivanje udruženja?,medium,synthetic_rule_based,train
Pokušavam naći tačan obrazac. Treba mi formular za registraciju fondacije.,obrasci,obrazac_registracija,Treba mi formular za registraciju fondacije.,medium,synthetic_rule_based,train
"Dobar dan, Ko radi u sektoru za pravosuđe?",kontakt_i_nadleznosti,organizacija,Ko radi u sektoru za pravosuđe?,medium,synthetic_rule_based,train
Ne razumijem proceduru. Treba mi pravilnik za ZOSPI.,zakoni_i_propisi,zakoni_zospi,Treba mi pravilnik za ZOSPI.,easy,synthetic_rule_based,train
"Pozdrav, Gdje mogu naći zahtjev za izmjenu podataka? Molim odgovor.",obrasci,obrazac_promjena,Gdje mogu naći zahtjev za izmjenu podataka?,medium,synthetic_rule_based,train
"Zanima me, Gdje je zakon o slobodi pristupa informacijama? Ako može.",zakoni_i_propisi,zakoni_zospi,Gdje je zakon o slobodi pristupa informacijama?,medium,synthetic_rule_based,train
"Molim vas, Koji dokumenti trebaju za stručni upravni ispit? Hvala.",ispiti,strucni_upravni_ispit,Koji dokumenti trebaju za stručni upravni ispit?,medium,synthetic_rule_based,train
Gdje se plaća parking kazna? Ako može.,out_of_scope,nevezano,Gdje se plaća parking kazna?,easy,synthetic_rule_based,train
"Trebam informaciju, Gdje mogu pronaći listu notara? Nisam siguran gdje da tražim.",registri,registar_notara,Gdje mogu pronaći listu notara?,natural,synthetic_rule_based,train
"Zanima me, Kako mogu dobiti besplatnu pravnu pomoć? Možete li me uputiti?",pravna_pomoc,besplatna_pravna_pomoc,Kako mogu dobiti besplatnu pravnu pomoć?,natural,synthetic_rule_based,train
Koji zakon reguliše pravosudni ispit? Ako može.,zakoni_i_propisi,zakoni_ispiti,Koji zakon reguliše pravosudni ispit?,easy,synthetic_rule_based,train
"Trebam informaciju, Koji dokumenti trebaju za likvidaciju udruženja? Nisam siguran gdje da tražim.",registracija,brisanje_iz_registra,Koji dokumenti trebaju za likvidaciju udruženja?,natural,synthetic_rule_based,train
"Molim vas, Koji su uslovi za pravosudni ispit? Ako može.",ispiti,pravosudni_ispit,Koji su uslovi za pravosudni ispit?,easy,synthetic_rule_based,train
Gdje su pravilnici za sudske tumače? Nisam siguran gdje da tražim.,zakoni_i_propisi,zakoni_notari_tumaci,Gdje su pravilnici za sudske tumače?,medium,synthetic_rule_based,train
"Trebam informaciju, Koji formular se predaje za polaganje ispita? Možete li me uputiti?",obrasci,obrazac_ispiti,Koji formular se predaje za polaganje ispita?,medium,synthetic_rule_based,train
"Trebam informaciju, Kako pokrenuti postupak za izdržavanje iz druge države? Nisam siguran gdje da tražim.",pravna_pomoc,alimentacija,Kako pokrenuti postupak za izdržavanje iz druge države?,easy,synthetic_rule_based,train
Gdje da pitam za ispitne termine? Nisam siguran gdje da tražim.,ispiti,kontakt_ispiti,Gdje da pitam za ispitne termine?,medium,synthetic_rule_based,train
"Zanima me, Pokušavam naći tačan obrazac. Gdje je obrazac za prijavu pravosudnog ispita? Nisam siguran gdje da tražim.",obrasci,obrazac_ispiti,Gdje je obrazac za prijavu pravosudnog ispita?,natural,synthetic_rule_based,train
"Može pomoć, Koji su uslovi za pravosudni ispit? Nisam siguran gdje da tražim.",ispiti,pravosudni_ispit,Koji su uslovi za pravosudni ispit?,easy,synthetic_rule_based,train
Treba mi za fakultetski zadatak. Kako promijeniti adresu udruženja?,registracija,promjena_podataka,Kako promijeniti adresu udruženja?,easy,synthetic_rule_based,train
"Trebam informaciju, Ima li obrazac za popravni ispit? Hvala.",obrasci,obrazac_ispiti,Ima li obrazac za popravni ispit?,easy,synthetic_rule_based,train
"Ne mogu da nađem na stranici, Gdje mogu pronaći sudskog tumača? Ako može.",registri,registar_tumaca,Gdje mogu pronaći sudskog tumača?,medium,synthetic_rule_based,train
Kako se prijavljuje pravosudni ispit? Nisam siguran gdje da tražim.,ispiti,pravosudni_ispit,Kako se prijavljuje pravosudni ispit?,medium,synthetic_rule_based,train
Kako se pokreće postupak za povrat djeteta?,pravna_pomoc,otmica_djece,Kako se pokreće postupak za povrat djeteta?,easy,synthetic_rule_based,train
"Ne mogu da nađem na stranici, Gdje se nalazi Ministarstvo pravde? Hvala.",kontakt_i_nadleznosti,kontakt,Gdje se nalazi Ministarstvo pravde?,medium,synthetic_rule_based,train
"Dobar dan, Gdje se vadi lična karta? Možete li me uputiti?",out_of_scope,nevezano,Gdje se vadi lična karta?,easy,synthetic_rule_based,train
"Trebam informaciju, Pokušavam naći tačan obrazac. Kada rade općinske službe? Nisam siguran gdje da tražim.",out_of_scope,nevezano,Kada rade općinske službe?,medium,synthetic_rule_based,train
"Može pomoć, Kako se prijavljuje stručni upravni ispit? Nisam siguran gdje da tražim.",ispiti,strucni_upravni_ispit,Kako se prijavljuje stručni upravni ispit?,natural,synthetic_rule_based,train
"Trebam informaciju, Kada je popravni ispit? Hvala.",ispiti,termini_ispita,Kada je popravni ispit?,natural,synthetic_rule_based,train
"Trebam informaciju, Koji propisi važe za notare? Hvala.",zakoni_i_propisi,zakoni_notari_tumaci,Koji propisi važe za notare?,medium,synthetic_rule_based,train
"Pozdrav, Koji zakon reguliše notarsku službu? Ako može.",zakoni_i_propisi,zakoni_notari_tumaci,Koji zakon reguliše notarsku službu?,easy,synthetic_rule_based,train
"Molim vas, Kako dobiti uvjerenje o državljanstvu? Nisam siguran gdje da tražim.",out_of_scope,nevezano,Kako dobiti uvjerenje o državljanstvu?,medium,synthetic_rule_based,train
"Ne mogu da nađem na stranici, Treba mi organizaciona struktura Ministarstva. Možete li me uputiti?",kontakt_i_nadleznosti,organizacija,Treba mi organizaciona struktura Ministarstva.,easy,synthetic_rule_based,train
"Molim vas, Gdje mogu preuzeti obrazac za registraciju udruženja? Molim odgovor.",obrasci,obrazac_registracija,Gdje mogu preuzeti obrazac za registraciju udruženja?,easy,synthetic_rule_based,train
"Molim vas, Gdje mogu preuzeti obrazac za registraciju udruženja? Treba mi hitno.",obrasci,obrazac_registracija,Gdje mogu preuzeti obrazac za registraciju udruženja?,medium,synthetic_rule_based,train
"Pozdrav, Kako registrovati udruženje? Molim odgovor.",registracija,registracija_udruzenja,Kako registrovati udruženje?,medium,synthetic_rule_based,train
Koji zakon propisuje uslove za pravosudni ispit? Nisam siguran gdje da tražim.,zakoni_i_propisi,zakoni_ispiti,Koji zakon propisuje uslove za pravosudni ispit?,natural,synthetic_rule_based,train
Radim ovo prvi put. Kako poslati upit Ministarstvu? Ako može.,kontakt_i_nadleznosti,kontakt,Kako poslati upit Ministarstvu?,easy,synthetic_rule_based,train
"Zanima me, Ne razumijem proceduru. Gdje da pitam za ispitne termine? Ako može.",ispiti,kontakt_ispiti,Gdje da pitam za ispitne termine?,natural,synthetic_rule_based,train
Ima li registar notara? Molim odgovor.,registri,registar_notara,Ima li registar notara?,medium,synthetic_rule_based,train
"Pozdrav, Ima li lista stalnih sudskih tumača? Nisam siguran gdje da tražim.",registri,registar_tumaca,Ima li lista stalnih sudskih tumača?,easy,synthetic_rule_based,train
"Pozdrav, Kako ide pravna saradnja sa drugom državom? Možete li me uputiti?",pravna_pomoc,medjunarodna_pravna_pomoc,Kako ide pravna saradnja sa drugom državom?,easy,synthetic_rule_based,train
"Dobar dan, Radim ovo prvi put. Treba mi izvod iz registra udruzenja. Mozete li me uputiti?",registri,registar_udruzenja,Treba mi izvod iz registra udruženja.,medium,synthetic_rule_based,train
"Dobar dan, Kako podnijeti zahtjev po ZOSPI-u?",obrasci,obrazac_zospi,Kako podnijeti zahtjev po ZOSPI-u?,natural,synthetic_rule_based,train
"Ne mogu da nađem na stranici, Gdje se predaje zahtjev za upis udruženja? Molim odgovor.",registracija,registracija_udruzenja,Gdje se predaje zahtjev za upis udruženja?,natural,synthetic_rule_based,train
"Dobar dan, Treba mi propis o stalnim sudskim tumačima. Treba mi hitno.",zakoni_i_propisi,zakoni_notari_tumaci,Treba mi propis o stalnim sudskim tumačima.,easy,synthetic_rule_based,train
"Pozdrav, Kako promijeniti adresu udruženja? Molim odgovor.",registracija,promjena_podataka,Kako promijeniti adresu udruženja?,easy,synthetic_rule_based,train
Ne znam koji dokument da predam. Kako provjeriti da li je neko sudski tumač? Možete li me uputiti?,registri,registar_tumaca,Kako provjeriti da li je neko sudski tumač?,natural,synthetic_rule_based,train
"Zanima me, Na stranici ima puno linkova. Treba mi pravni osnov za registraciju udruženja.",zakoni_i_propisi,zakoni_udruzenja,Treba mi pravni osnov za registraciju udruženja.,natural,synthetic_rule_based,train
"Dobar dan, Treba mi propis o stalnim sudskim tumačima. Možete li me uputiti?",zakoni_i_propisi,zakoni_notari_tumaci,Treba mi propis o stalnim sudskim tumačima.,easy,synthetic_rule_based,train
Ima li obrazac za preregistraciju?,obrasci,obrazac_promjena,Ima li obrazac za preregistraciju?,medium,synthetic_rule_based,train
"Trebam informaciju, Koji obrazac ide za ZOSPI? Treba mi hitno.",obrasci,obrazac_zospi,Koji obrazac ide za ZOSPI?,natural,synthetic_rule_based,train
Kome prijaviti odvođenje djeteta u drugu državu? Ako može.,pravna_pomoc,otmica_djece,Kome prijaviti odvođenje djeteta u drugu državu?,medium,synthetic_rule_based,train
"Dobar dan, Treba mi informacija o Haškoj konvenciji za djecu. Nisam siguran gdje da tražim.",pravna_pomoc,otmica_djece,Treba mi informacija o Haškoj konvenciji za djecu.,natural,synthetic_rule_based,train
"Ne mogu da nađem na stranici, Koji je broj telefona Ministarstva? Možete li me uputiti?",kontakt_i_nadleznosti,kontakt,Koji je broj telefona Ministarstva?,natural,synthetic_rule_based,train
Kako odjaviti udruženje iz registra? Možete li me uputiti?,registracija,brisanje_iz_registra,Kako odjaviti udruženje iz registra?,easy,synthetic_rule_based,train
"Trebam informaciju, Koji formular treba za promjenu zastupnika? Nisam siguran gdje da tražim.",obrasci,obrazac_promjena,Koji formular treba za promjenu zastupnika?,natural,synthetic_rule_based,train
"Može pomoć, Gdje je javni registar fondacija? Nisam siguran gdje da tražim.",registri,registar_udruzenja,Gdje je javni registar fondacija?,easy,synthetic_rule_based,train
Ima li registar notara? Ako može.,registri,registar_notara,Ima li registar notara?,medium,synthetic_rule_based,train
"Molim vas, Na stranici ima puno linkova. Gdje se predaje zahtjev za građevinsku dozvolu? Ako može.",out_of_scope,nevezano,Gdje se predaje zahtjev za građevinsku dozvolu?,natural,synthetic_rule_based,train
Treba mi za fakultetski zadatak. Gdje se predaje zahtjev za upis udruženja? Možete li me uputiti?,registracija,registracija_udruzenja,Gdje se predaje zahtjev za upis udruženja?,natural,synthetic_rule_based,train
"Pozdrav, Radim ovo prvi put. Ima li registar notara? Nisam siguran gdje da tražim.",registri,registar_notara,Ima li registar notara?,easy,synthetic_rule_based,train
"Može pomoć, Kada rade općinske službe? Ako može.",out_of_scope,nevezano,Kada rade općinske službe?,easy,synthetic_rule_based,train
Na stranici ima puno linkova. Gdje je obrazac za prijavu pravosudnog ispita?,obrasci,obrazac_ispiti,Gdje je obrazac za prijavu pravosudnog ispita?,medium,synthetic_rule_based,train
Treba mi informacija o Haškoj konvenciji za djecu.,pravna_pomoc,otmica_djece,Treba mi informacija o Haškoj konvenciji za djecu.,natural,synthetic_rule_based,train
"Može pomoć, Ne razumijem proceduru. Kako prijaviti promjenu podataka udruženja? Nisam siguran gdje da tražim.",registracija,promjena_podataka,Kako prijaviti promjenu podataka udruženja?,medium,synthetic_rule_based,train
"Može pomoć, Treba mi za fakultetski zadatak. Kada je sljedeći termin ispita?",ispiti,termini_ispita,Kada je sljedeći termin ispita?,natural,synthetic_rule_based,train
"Molim vas, Treba mi spisak notara u BiH.",registri,registar_notara,Treba mi spisak notara u BiH.,easy,synthetic_rule_based,train
"Trebam informaciju, Koji formular treba za promjenu zastupnika? Treba mi hitno.",obrasci,obrazac_promjena,Koji formular treba za promjenu zastupnika?,natural,synthetic_rule_based,train
"Ne mogu da nađem na stranici, Koja dokumentacija je potrebna za osnivanje udruženja? Možete li me uputiti?",registracija,registracija_udruzenja,Koja dokumentacija je potrebna za osnivanje udruženja?,easy,synthetic_rule_based,train
"Može pomoć, Kako provjeriti da li je neko sudski tumač? Molim odgovor.",registri,registar_tumaca,Kako provjeriti da li je neko sudski tumač?,medium,synthetic_rule_based,train
